FileName_Orig,FileName,Date,Timepoint,Treatment,Tank_ID,Plug,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
IMG_4372,MON_P0_H2,20250702,0,heat,Tank_3,2728,226.9,159.81,176.79,145.2,103.84,27.43,
IMG_4373,MON_R0_H2,20250702,0,heat,Tank_3,2017,234.9,184.11,203.1,181.82,139.51,59.22,
IMG_4374,MON_S0_H2,20250702,0,heat,Tank_3,2522,239.65,187.99,204.55,141.12,94.62,14.5,
IMG_4375,MON_P0_H3,20250702,0,heat,Tank_5,2746,232.86,190.94,208.82,157.77,116.08,48.33,
IMG_4376,MON_R0_H3,20250702,0,heat,Tank_5,1493,243.25,198.85,213.9,177.27,129.96,39.22,
IMG_4377,MON_S0_H3,20250702,0,heat,Tank_5,1171,237.13,186.81,203.53,143.96,103.73,35.66,
IMG_4379,MON_P0_H1,20250702,0,heat,Tank_2,2364,239.26,182.96,201.57,159.51,116.21,41.05,
IMG_4380,MON_R0_H1,20250702,0,heat,Tank_2,1743,239.61,186.07,202.78,113.14,75.07,20.61,
IMG_4381,MON_S0_H1,20250702,0,heat,Tank_2,1304,237.45,181.89,199.64,168.69,122.55,45.01,
IMG_4382,MON_P0_C3,20250702,0,control,Tank_6,1054,240.67,177.53,208.53,172.18,124.96,38.46,
IMG_4383,MON_R0_C3,20250702,0,control,Tank_6,1291,233.34,179.07,198.25,107.59,70.11,19.14,
IMG_4384,MON_S0_C3,20250702,0,control,Tank_6,1778,233.85,184.74,202.96,169.98,123.7,40.3,
IMG_4385,MON_P0_C1,20250702,0,control,Tank_1,1111,240.44,195.75,212.02,137.85,95.91,29.29,
IMG_4386,MON_R0_C1,20250702,0,control,Tank_1,2732,234.82,185.23,203.83,160.84,118.09,45.68,
IMG_4387,MON_S0_C1,20250702,0,control,Tank_1,1205,240.25,192.76,210.3,171.98,128.74,52.51,
IMG_4388,MON_P0_C2,20250702,0,control,Tank_4,1170,240.65,190.38,206.84,171.33,127.44,48.63,
IMG_4389,MON_R0_C2,20250702,0,control,Tank_4,1708,237.44,186.43,205.91,137.83,95.5,22.2,
IMG_4390,MON_S0_C2,20250702,0,control,Tank_4,1330,237.89,178.76,201.82,182.64,138.92,63.13,
IMG_4392,MON_P1_C3,20250702,1,control,Tank_6,1491,240.14,197.32,210.89,152.19,103.66,17.54,
IMG_4393,MON_R1_C3,20250702,1,control,Tank_6,2419,245.44,200.5,212.81,192.79,148.36,86.32,
IMG_4394,MON_S1_C3,20250702,1,control,Tank_6,1255,243.56,195.32,213.04,173.12,123.28,29.6,
IMG_4395,MON_P1_H3,20250702,1,heat,Tank_5,2389,241.24,192.14,209.24,138.55,95.42,24.25,
IMG_4396,MON_R1_H3,20250702,1,heat,Tank_5,2515,237.93,193.4,210.49,142.62,96.37,19.4,
IMG_4397,MON_S1_H3,20250702,1,heat,Tank_5,1167,241.46,192.91,207.28,157.02,112.37,46.79,
IMG_4398,MON_P1_C1,20250702,1,control,Tank_1,1437,240.91,193.72,206.95,198.36,154.67,82.88,
IMG_4399,MON_R1_C1,20250702,1,control,Tank_1,1608,243.65,192.94,209.34,172.43,127.59,44.2,
IMG_4400,MON_S1_C1,20250702,1,control,Tank_1,2020,242.55,194.64,213.21,146.59,103.69,49.48,
IMG_4401,MON_P1_H2,20250702,1,heat,Tank_3,1285,,,,,,,
IMG_4402,MON_R1_H2,20250702,1,heat,Tank_3,1452,,,,,,,
IMG_4403,MON_S1_H2,20250702,1,heat,Tank_3,1145,,,,,,,
IMG_4404,MON_P1_C2,20250702,1,control,Tank_4,1712,,,,,,,
IMG_4405,MON_R1_C2,20250702,1,control,Tank_4,2007,,,,,,,
IMG_4406,MON_S1_C2,20250702,1,control,Tank_4,1825,,,,,,,
IMG_4407,MON_P1_H1,20250702,1,heat,Tank_2,1276,,,,,,,
IMG_4408,MON_R1_H1,20250702,1,heat,Tank_2,1074,,,,,,,
IMG_4409,MON_S1_H1,20250702,1,heat,Tank_2,2862,,,,,,,
IMG_4411,MON_P3_H1,20250702,3,heat,Tank_2,2980,,,,,,,
IMG_4412,MON_R3_H1,20250702,3,heat,Tank_2,1617,,,,,,,
IMG_4413,MON_S3_H1,20250702,3,heat,Tank_2,1037,,,,,,,
IMG_4414,MON_P3_C2,20250702,3,control,Tank_4,1723,,,,,,,
IMG_4415,MON_R3_C2,20250702,3,control,Tank_4,1741,,,,,,,
IMG_4416,MON_S3_C2,20250702,3,control,Tank_4,1576,,,,,,,
IMG_4417,MON_P3_H3,20250702,3,heat,Tank_5,1628,,,,,,,
IMG_4418,MON_R3_H3,20250702,3,heat,Tank_5,1416,,,,,,,
IMG_4419,MON_S3_H3,20250702,3,heat,Tank_5,2865,,,,,,,
IMG_4420,MON_P3_C3,20250702,3,control,Tank_6,2518,,,,,,,
IMG_4421,MON_R3_C3,20250702,3,control,Tank_6,1467,,,,,,,
