"module","treatmentH.time_factor1","treatmentH.time_factor3","treatmentH.time_factor12","treatmentH.time_factor24","treatmentH.time_factor72","treatmentH.time_factor120","AveExpr","F","P.Value","adj.P.Val"
"ME10",-0.0497570307302153,0.0557743634701738,-0.329799944754652,-0.372529739058344,-0.287053956026437,-0.512990621286908,-8.19656842399041e-18,9.31260137014774,5.10175408931313e-06,0.00016325613085802
"ME20",0.0539747679267564,-0.191211990776787,0.284359447242626,0.273009830448907,0.234593476993366,0.36597104617933,-7.24247051220317e-18,7.87361324307939,2.47632612862223e-05,0.000396212180579556
"ME17",-0.111400725102317,-0.460608788344817,-0.443438565543549,-0.240116594453003,-0.187727775329932,0.0137130216488659,1.37043154602168e-17,7.00618966537154,6.89956801841738e-05,0.000735953921964521
"ME3",-0.0773906280366455,-0.321634440981804,-0.386524605386534,-0.27671476688131,-0.271662778313963,-0.356812148373729,6.98226199080665e-18,6.53895878847051,0.000122846076654425,0.000982768613235398
"ME25",0.0876574770822868,0.129787312307425,-0.284188328609499,-0.0993520237676296,-0.134306649626381,-0.255008288879883,-8.41340885848751e-18,5.02885953309408,0.000904289079397613,0.00578745010814473
"ME1",0.0372078966081612,0.297498217821203,0.374200384862521,0.310480478996027,0.238970049158021,0.264669438206657,3.6429192995513e-18,4.55937663681421,0.00175763503413273,0.00937405351537453
"ME26",0.0387338614945736,0.0930831128588423,-0.0626615220978461,-0.023617196806876,-0.275298707652511,-0.484447553788817,1.85940672581264e-17,4.31750376091832,0.002496399158788,0.0114121104401737
"ME6",-0.0259519857168785,-0.338726815821485,-0.358865769671022,-0.285659580839784,-0.143390899771103,0.0827152011402565,8.23993651088983e-19,4.19799193308853,0.00297536364072012,0.0119014545628805
"ME9",-0.0796359689366727,0.129602371904976,-0.0215612051670877,-0.233126981668446,-0.284555686544628,-0.397929710350487,-1.02782365951626e-17,3.98067029444102,0.00410888334066007,0.0146093629890136
"ME29",-0.0721694273259076,-0.174470671823987,-0.426098022369836,-0.418090207554986,-0.380310327178175,-0.0998912777667041,4.49943901581484e-18,3.87658591665603,0.00480372797956914,0.0153719295346213
"ME8",0.112045703935645,-0.0876196149535214,-0.271540706425082,-0.263364365379476,-0.353354621137491,-0.326875436750414,5.51316804708879e-18,3.7038845637651,0.00623986212407172,0.0181523261791177
"ME13",-0.114954386573848,0.164449349132703,0.314862782742976,0.337083831982569,0.231897680125357,-0.141241499677098,6.92263087131995e-18,3.34900373950338,0.010775820449439,0.0287355211985041
"ME5",-0.139871338612269,0.0882873039967522,-0.184071086858034,-0.141897437122998,-0.145920779945156,-0.500315322225142,1.52208432489809e-17,2.8671403644508,0.0230283592854713,0.0547330456000522
"ME30",-0.0345447482933375,0.33753366556751,0.37406585198972,0.253102527824572,0.497718432938713,0.240168617540983,2.04046848861772e-17,2.8426589351394,0.0239457074500228,0.0547330456000522
"ME19",0.0435099264271111,0.12730424258051,0.352856027286245,0.198295526418057,0.179951775483849,0.406480996640744,-4.49943901581484e-18,2.71324078563499,0.0294576585426944,0.0628430048910813
"ME7",0.00249091186471854,-0.254743442240833,-0.0235739612472708,-0.0551793910261735,0.0994954651066933,0.316486907679837,1.11022302462516e-17,2.39656824912922,0.0490964975763209,0.0981929951526418
"ME28",-0.16142782583448,-0.33062637929832,-0.0415717120448068,0.0988772263996565,-0.193362669961309,-0.248217982222565,-5.74193470548323e-17,1.99894724151885,0.0936031801000382,0.176194221364778
"ME0",0.159120831869966,0.0613738180870278,-0.0855363544402589,-0.223669080283009,0.040473472430029,0.302979318297461,1.14491749414469e-17,1.90237064465061,0.109455413527631,0.186407596376148
"ME24",-0.308401189115749,-0.129647364211337,-0.0445434886641054,0.123304162769677,0.0422243787542272,-0.33485864805157,-2.49366499671666e-19,1.89549589201087,0.110679510348338,0.186407596376148
"ME22",0.257779104127354,0.0620291530375449,-0.0496303932345466,-0.178088610515974,0.00968988951838437,0.295466225155334,-3.67544536472586e-18,1.79751491053025,0.129649759420898,0.207439615073437
"ME23",0.155820282203512,0.203374108821327,-0.159358452669534,-0.211597031536178,-0.109018765984995,-0.0559361819781572,9.4542429440736e-18,1.73097812249296,0.144294043569,0.219876637819429
"ME16",0.0457900475244121,0.182859822771308,0.176165789142139,0.269324231246982,-0.00985197553888303,-0.0991268757587561,7.87130777224476e-18,1.50021654780465,0.208301945362965,0.296823170414266
"ME27",0.09194040445418,0.0617293076240975,-0.176840009026193,-0.243924918571878,-0.0304509095707015,0.19553825554315,-7.00394603425636e-18,1.48500677445028,0.213341653735254,0.296823170414266
"ME14",-0.134877509702019,-0.0695070757735099,-0.00160896911846789,0.136809218812935,0.0807550112711206,-0.299897160276941,-1.37910516340156e-17,1.38868839028393,0.247936673685268,0.327871532682013
"ME12",0.0870652988157807,0.148779168691037,0.100249043924454,-0.0844556760443147,0.319125693301174,0.355735060138986,1.42924951387902e-17,1.36761924833353,0.256149634907823,0.327871532682013
"ME31",0.123871836222493,0.222783170087343,0.0632107407050967,-0.0818748895572642,-0.1333143546061,0.249381596088763,-9.00972005335454e-18,1.33641803447507,0.268758168672395,0.33077928451987
"ME2",-0.0813094655559957,0.104922472776536,0.189407885475056,0.163557466847263,0.420085317831872,-0.0365420688012967,6.24500451351651e-18,1.21443234611286,0.323411614969746,0.377021050028337
"ME4",0.109443056928954,-0.0993276953199927,-0.209811631343821,-0.214299713109111,-0.354828165811017,0.0114618203340359,-9.71445146547012e-18,1.20115955440076,0.329893418774795,0.377021050028337
"ME15",-0.0522811840085596,0.270608792958951,0.126632743880385,0.0989241954269338,0.0957878529890878,0.00201300834157004,-2.66713734431434e-18,1.09030752953224,0.388301197306012,0.428470286682496
"ME18",0.0563861016276009,0.11854270154755,0.190562291264883,0.219732524068454,0.0604779247561425,0.224742021151494,-1.82525435737935e-17,0.764209978296304,0.60316098311111,0.626480937207514
"ME11",-0.054260648882337,-0.111836892755032,-0.231136773232504,-0.212289991501339,-0.36454516762892,-0.0446634445841936,6.07153216591882e-18,0.759174359563885,0.606903407919779,0.626480937207514
"ME21",0.0549669251688814,0.0883202021955435,0.00523191423525741,-0.165177657082413,-0.123148189931512,-0.0998015057229663,1.37259995036665e-17,0.726566061398557,0.631344634189671,0.631344634189671
