Date,Treatment,Timepoint,Tank_ID,Time,Initials,Dark Adapt Mins,Plug #,Mem,Fluorescence yield (F),Max fluorescence yield (M = Fm),YIELD (Y),Fv/Fm (Y/1000),Notes
20250613,Recovery,20250613,BT1/2,13:05,JH;ZD,30,1145,2657,320,1230,739,0.739,Measuring intensity 11 and gain 4
20250613,Recovery,20250613,BT1/2,13:05,JH;ZD,30,1548,2658,391,1237,683,0.683,
20250613,Recovery,20250613,BT1/2,13:05,JH;ZD,30,1538,2660,319,1176,728,0.728,
20250613,Recovery,20250613,BT1/2,13:05,JH;ZD,30,1339,2661,328,1222,731,0.731,
20250613,Recovery,20250613,BT1/2,13:05,JH;ZD,30,1549,2662,399,1441,723,0.723,
20250613,Recovery,20250613,BT1/2,13:05,JH;ZD,30,1108,2663,337,1394,758,0.758,
20250613,Recovery,20250613,BT1/2,13:05,JH;ZD,30,1211,2665,339,1294,738,0.738,
20250613,Recovery,20250613,BT1/2,13:05,JH;ZD,40,2852,2666,305,1115,726,0.726,
20250616,Recovery,20250616,BT1/2,14:00,JH,30,1548,2680,454,1364,667,0.667,
20250616,Recovery,20250616,BT1/2,14:00,JH,30,1145,2681,386,1386,721,0.721,
20250616,Recovery,20250616,BT1/2,14:00,JH,30,1108,2682,345,1287,731,0.731,
20250616,Recovery,20250616,BT1/2,14:00,JH,30,1211,2683,394,1404,719,0.719,
20250616,Recovery,20250616,BT1/2,14:00,JH,30,2852,2684,414,1458,716,0.716,
20250616,Recovery,20250616,BT1/2,14:00,JH,30,1538,2685,361,1288,719,0.719,
20250616,Recovery,20250616,BT1/2,14:00,JH,30,1339,2686,400,1407,715,0.715,
20250616,Recovery,20250616,BT1/2,14:00,JH,30,1549,2687,490,1690,710,0.710,
20250618,Recovery,20250618,BT1/2,14:15,JH/PP,30,1108,2700,387,1492,740,0.740,
20250618,Recovery,20250618,BT1/2,14:15,JH/PP,30,2852,2701,359,1308,725,0.725,
20250618,Recovery,20250618,BT1/2,14:15,JH/PP,30,1548,2702,332,1022,675,0.675,
20250618,Recovery,20250618,BT1/2,14:15,JH/PP,30,1538,2703,341,1257,735,0.735,
20250618,Recovery,20250618,BT1/2,14:15,JH/PP,30,1339,2704,433,1468,705,0.705,
20250618,Recovery,20250618,BT1/2,14:15,JH/PP,30,1549,2705,418,1494,720,0.720,
20250618,Recovery,20250618,BT1/2,14:15,JH/PP,30,1211,2706,344,1277,730,0.730,
