"gene_id","ImpulseDE2_padj","ImpulseDE2_response_type","ImpulseDE2_response_class","is_DE","Mfuzz_cluster","Mfuzz_membership","Mfuzz_highconf","Mfuzz_pattern","WGCNA_module","kME_own","is_hub","count_FOXO3","count_HSF1","count_NFE2L2","has_HSF1","has_FOXO3","has_NFE2L2","SwissProt_BlastHit","SwissProt_BlastEval","SwissProt_ProteinName","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"Porites_compressa_HIv1___RNAseq.g9685.t1",0.870888328267799,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",-0.0371162012259412,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Porites_compressa_HIv1___RNAseq.g9709.t1",0.390785672850848,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.883508024547589,TRUE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Porites_compressa_HIv1___RNAseq.g9710.t1",1,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",-0.392979430872055,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Porites_compressa_HIv1___TS.g4355.t2",1,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",-0.431224141197808,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Porites_compressa_HIv1___RNAseq.g9732.t1",1,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.0255820974731959,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Porites_compressa_HIv1___RNAseq.g9733.t1",0.0458432997699316,"Other","unclassified",TRUE,3,0.593547650271521,TRUE,"Sustained Down (3h)","ME3",0.759071006698987,FALSE,1,0,0,FALSE,TRUE,FALSE,"Q6DIV6",1.01e-46,"Vesicular inhibitory amino acid transporter (GABA and glycine transporter) (Solute carrier family 32 member 1) (Vesicular GABA transporter)","beta-alanine transport [GO:0001762]; gamma-aminobutyric acid import [GO:0051939]; gamma-aminobutyric acid transport [GO:0015812]; glycine transport [GO:0015816]; neurotransmitter transport [GO:0006836]","GO:0001762; GO:0006836; GO:0008021; GO:0015185; GO:0015187; GO:0015812; GO:0015816; GO:0030659; GO:0042995; GO:0051939; GO:0098793; GO:0140799; GO:0140800","cell projection [GO:0042995]; cytoplasmic vesicle membrane [GO:0030659]; presynapse [GO:0098793]; synaptic vesicle [GO:0008021]","gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; gamma-aminobutyric acid:proton antiporter activity [GO:0140800]; glycine transmembrane transporter activity [GO:0015187]; glycine:proton antiporter activity [GO:0140799]"
"Porites_compressa_HIv1___RNAseq.g9734.t1",0.346322813088874,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.0254494772058501,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Porites_compressa_HIv1___RNAseq.g9740.t1",0.976565874857181,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.402901791944365,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Porites_compressa_HIv1___RNAseq.g9741.t1",1,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",-0.0606945041450281,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Porites_compressa_HIv1___RNAseq.g9764.t1",1,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.148506960894986,FALSE,0,0,1,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA
