"gene_id","module","color","kME_own","kME_25","kME_9","kME_22","kME_27","kME_7","kME_17","kME_1","kME_23","kME_6","kME_8","kME_13","kME_18","kME_15","kME_19","kME_28","kME_14","kME_26","kME_16","kME_3","kME_2","kME_4","kME_10","kME_12","kME_20","kME_24","kME_21","kME_5","kME_11","kME_0"
"Porites_compressa_HIv1___TS.9400_t","ME0","grey",0.96065348910135,0.320569038328705,0.665941996928262,0.572504720178039,-0.399001985273502,-0.380303949934203,-0.458026729828177,-0.0651035919535286,0.527802169215483,0.321000643546588,0.492715454570159,-0.585782379931042,-0.752610381724018,-0.481416437125139,-0.710872366008096,-0.45184932006311,-0.429502461382485,-0.437259442933053,-0.138182749985425,-0.0660701678880518,-0.0364806003877913,-0.0308374155010789,0.284948270348729,-0.0362868746649829,0.397044299456976,-0.100533497580744,0.447461725437504,0.632885484455633,0.499850655530983,0.96065348910135
"Porites_compressa_HIv1___RNAseq.g37521.t1","ME0","grey",0.958320493601056,0.297782230091361,0.670264891393667,0.587391327799042,-0.405136009908144,-0.388305086806742,-0.465541985353088,-0.080877609054495,0.522593998321427,0.318261753854194,0.491238639676616,-0.592136474888351,-0.756376616973505,-0.48818325557198,-0.716500320842,-0.447460644566448,-0.432432133779417,-0.444477079288226,-0.121698013813307,-0.0489527276440778,-0.0204522820767124,-0.0159049640274063,0.277788518106206,-0.0412441773675142,0.402098597532127,-0.104646305756388,0.451088265078944,0.622560573004684,0.500069395581869,0.958320493601056
"Porites_compressa_HIv1___RNAseq.g26557.t1","ME0","grey",0.95711841106289,0.305891780499753,0.656066665294583,0.57142213706971,-0.411925186738255,-0.371705945509691,-0.458259831320013,-0.0564932499840384,0.526580733931956,0.338562328004977,0.502279805693228,-0.574324840931983,-0.738076563056521,-0.498337005451686,-0.733600768356733,-0.464949211488246,-0.449149465530045,-0.461270250193185,-0.15357137748156,-0.0720390351291256,-0.0540404558915442,-0.0419840973728144,0.257977234518581,-0.0548997041966726,0.391660532723786,-0.102342247722822,0.43263432141935,0.604954603134548,0.483026398150169,0.95711841106289
"Porites_compressa_HIv1___RNAseq.g14282.t1","ME0","grey",0.954747147851171,0.39703253636519,0.696463585798918,0.635948369878556,-0.227362575033904,-0.337917537153564,-0.297469165281647,0.0404190824694087,0.6694734054959,0.359814176400357,0.568203681025119,-0.630011911337845,-0.750859106169267,-0.506209689842978,-0.723208595737504,-0.535038336831447,-0.505133340721789,-0.369558733334596,-0.112730392702676,-0.169116447400578,-0.0963256936097629,-0.12510541833694,0.279323798294902,-0.0177115673678551,0.221951762079636,-0.284372902650643,0.346104513597,0.548944201774705,0.473175961862883,0.954747147851171
"Porites_compressa_HIv1___RNAseq.g22716.t1","ME0","grey",0.951415512111628,0.400736813278541,0.676175774236461,0.569082817347164,-0.289038961562626,-0.398327204990835,-0.358532689678337,-0.0199667872809507,0.640197640930953,0.33720913136091,0.499477855930295,-0.607749966738054,-0.782897371646385,-0.439983861603268,-0.716190027594714,-0.552082203132684,-0.480157948093799,-0.349408849424984,-0.139297153889609,-0.102402018278793,-0.0609958555560332,-0.0874884132910605,0.338508683571181,-0.0168174897583512,0.28533187851452,-0.207140407245788,0.370528755105133,0.604996472336847,0.532413521766147,0.951415512111628
"Porites_compressa_HIv1___RNAseq.g33449.t1b","ME0","grey",0.947962015660663,0.287730826549328,0.659656404212999,0.572105271007893,-0.401968689661094,-0.364440708401209,-0.447747920246363,-0.0759496081487329,0.537246499950401,0.33530542685632,0.500050604267463,-0.573509231523964,-0.743249828532631,-0.488358950790891,-0.721650159833145,-0.440183744944039,-0.435366516565405,-0.448259403784286,-0.13900878659129,-0.0440715340810715,-0.038508486639523,-0.0185762247764362,0.253574059724984,-0.07020727231377,0.391871881525255,-0.0984489833935763,0.432930655565684,0.608167217598813,0.485796317440669,0.947962015660663
"Porites_compressa_HIv1___RNAseq.g22519.t1","ME0","grey",0.946835983986619,0.338113096169335,0.712649498317197,0.589077830500501,-0.287057104623929,-0.278521704189226,-0.346255049512604,0.0226468137877515,0.628584291751693,0.316184733265132,0.556014326847552,-0.622217062712623,-0.697045817348602,-0.523281115160265,-0.684991937320984,-0.388282749971705,-0.393104583201863,-0.384500263319571,-0.130513845867351,-0.136575551326161,-0.103028711652387,-0.08508483728179,0.261220305926516,-0.000939309069865307,0.307142826880011,-0.182997388731044,0.446193895889725,0.538595667149286,0.43377020256886,0.946835983986619
"Porites_compressa_HIv1___TS.g28385.t1","ME0","grey",0.943434998862964,0.370824931660863,0.692444858611535,0.574302795471522,-0.330514864980883,-0.34167999614323,-0.401936094077917,-0.0236821045292102,0.570242369832707,0.290523683682698,0.507322641141399,-0.6100803423145,-0.740563163325128,-0.481073390238078,-0.664263760077784,-0.404412372544176,-0.382243497804774,-0.378218439231236,-0.136123757663448,-0.103725529553074,-0.0754892149928693,-0.0634737978960071,0.25306797754527,-0.0241197520456488,0.34669374397008,-0.139992136572125,0.461549057111521,0.60327992801798,0.479883714854289,0.943434998862964
"Porites_compressa_HIv1___RNAseq.g34660.t1","ME0","grey",0.94286427624088,0.29556209033791,0.71555916315447,0.576915641531023,-0.329327357885324,-0.304087515995082,-0.373475468153578,-0.0330885208875081,0.605487932393995,0.311228156054676,0.536382053074876,-0.615751784800343,-0.712550447577506,-0.522474869357132,-0.707171635664027,-0.38922342495842,-0.389999577462903,-0.38499817536827,-0.161396101510901,-0.0818109633162289,-0.0902301614664918,-0.0459161653579212,0.236877473514829,-0.0584191902141981,0.336486639640749,-0.163686941929173,0.46037487564789,0.533803413313599,0.450424639390603,0.94286427624088
"Porites_compressa_HIv1___RNAseq.g11284.t1","ME0","grey",0.941952102874093,0.283294206719278,0.64470974708485,0.57020332420058,-0.414760838480884,-0.367059834234008,-0.449384710074319,-0.0656572543215497,0.527749775990557,0.330486920522201,0.497052541669319,-0.572846550068747,-0.742427971026953,-0.498599566638116,-0.732454463313238,-0.463046293169267,-0.447691008496901,-0.46681564972397,-0.140253058654528,-0.0527223446881071,-0.037219391846631,-0.0360092457944822,0.239688435224536,-0.0633231876121477,0.386973275663613,-0.102312494186846,0.425015712286971,0.5945543718397,0.476305198993688,0.941952102874093
"Porites_compressa_HIv1___RNAseq.g3885.t1","ME0","grey",0.941865285432917,0.322398448057403,0.638854153270211,0.565347586900619,-0.408186625292688,-0.383559167976985,-0.469822252303163,-0.060215545488159,0.522735846584013,0.30529387441391,0.463849885493902,-0.55516670369498,-0.732302047945584,-0.441497376493868,-0.668563799673536,-0.442365522051382,-0.40730166658824,-0.435938547834995,-0.130311913484509,-0.0749321849842322,-0.00966490812981604,-0.0169844483585575,0.271588300808448,0.0137950553536236,0.420868961516372,-0.0643298612692789,0.458581164858459,0.623597192707574,0.507982335261976,0.941865285432917
"Porites_compressa_HIv1___RNAseq.g11067.t1","ME0","grey",0.94095549855613,0.31475107159767,0.712040898329808,0.56465441859153,-0.303371292421206,-0.299596203638652,-0.371284202880952,0.0235163920502967,0.60112003570118,0.307991725079883,0.529863129557764,-0.605210694549151,-0.663076493813066,-0.496783660588518,-0.674078019364513,-0.400168088706431,-0.37428278824368,-0.360957352977278,-0.148080514437064,-0.144296850171579,-0.0878013297269151,-0.0772365065023107,0.30861303184248,0.0145989538231321,0.338326959266238,-0.156965910689241,0.46823889135717,0.540686346875527,0.45474521322025,0.94095549855613
"Porites_compressa_HIv1___TS.g19224.t1","ME0","grey",0.939160631944563,0.236652686076437,0.68135586697409,0.590236453216877,-0.416160589479788,-0.401414574275149,-0.47837153002394,-0.117750052838351,0.504830116120699,0.300461490019057,0.478533844716371,-0.60279822586981,-0.744801550080335,-0.492152255764018,-0.723630888686367,-0.422765638280878,-0.414753018981623,-0.433421267639167,-0.117912452599575,-0.00770408573028972,0.00125689388374135,0.0214275110605798,0.273832854107279,-0.0595993502453173,0.413994149101644,-0.106641431562293,0.466084445360461,0.585364917089167,0.495422315844745,0.939160631944563
"Porites_compressa_HIv1___RNAseq.g35378.t1","ME0","grey",0.938531494173701,0.309411458611097,0.712799126214951,0.564310999118076,-0.318610444987501,-0.291394397072603,-0.363468520441474,-0.0238369179638842,0.610728535439885,0.315451828049919,0.535662988793785,-0.607112847397819,-0.703549165274318,-0.513477429578535,-0.696852581765092,-0.381205862929787,-0.383560389350516,-0.373654857699964,-0.171985085325986,-0.0888898523617522,-0.104232978584597,-0.0546856831675082,0.246059322038026,-0.0606415510793689,0.332398863469997,-0.160732255893327,0.456901401021093,0.526278275292189,0.446823423302748,0.938531494173701
"Porites_compressa_HIv1___RNAseq.g28647.t1","ME0","grey",0.938302842444023,0.548262990838662,0.549428299388403,0.4877339796434,-0.237108772183778,-0.194429817509353,-0.222784755712444,0.237873432321074,0.761327384574085,0.487213700464103,0.589283599378144,-0.454092782086111,-0.640726128139629,-0.436167659392922,-0.720847044255272,-0.637629796200808,-0.576766011426017,-0.432756771477121,-0.271357952875826,-0.338196825007628,-0.260181350949583,-0.322664205831906,0.259837904286573,-0.036007353360585,0.199873977198516,-0.190684123606134,0.224443147682244,0.477315205104258,0.41763462985551,0.938302842444023
"Porites_compressa_HIv1___RNAseq.g27167.t1","ME0","grey",0.937888971496602,0.209786119468406,0.656963278962706,0.617114380064755,-0.394904955561259,-0.368732016776746,-0.454241450869364,-0.0997249419136337,0.495318011898449,0.343725830794222,0.503437232069401,-0.569121322838683,-0.721906029180664,-0.498486744789722,-0.716706705399182,-0.424488904438902,-0.44959581005744,-0.467755958204599,-0.0796855593787219,-0.0302441764453766,0.00378022269381335,0.0198889629038231,0.237351785865902,-0.0655301476554698,0.395756709877344,-0.107180447751226,0.424060819108501,0.591378188939065,0.46738668636352,0.937888971496602
"Porites_compressa_HIv1___RNAseq.g24771.t1","ME0","grey",0.937633913338642,0.374537491218233,0.651886744545841,0.545330856956884,-0.369598778985831,-0.330250245413734,-0.414084022766639,-0.0021036505436361,0.603086313670284,0.328996128375969,0.496597890560934,-0.552604784425261,-0.717414972185519,-0.443680023260459,-0.669730219462536,-0.432832730803453,-0.404741684771344,-0.405638783551873,-0.158421866347476,-0.114540839034903,-0.0795220824842975,-0.0771090895269361,0.252049075855042,-0.0246180666797063,0.383016962252053,-0.0910946518973999,0.44283108335491,0.570214549885619,0.494022158455568,0.937633913338642
"Porites_compressa_HIv1___RNAseq.g1507.t1","ME0","grey",0.936550532017014,0.250327317874821,0.662719376806589,0.588854070749255,-0.417145952442441,-0.405593570395025,-0.475069878658044,-0.103712758166841,0.495360822822258,0.301291727117019,0.478927787209174,-0.594416689953987,-0.748072558951608,-0.491325795604441,-0.719988662209748,-0.440569460500594,-0.425681063122882,-0.446232023625257,-0.111237117692912,-0.0249032052865509,-0.000796970899488979,0.00674293836384672,0.246955449466767,-0.0503370312765985,0.398907109448014,-0.106507655964754,0.448405354261419,0.60891862619338,0.490359099950877,0.936550532017014
"Porites_compressa_HIv1___RNAseq.g2670.t1","ME0","grey",0.934577242642935,0.427106739448198,0.595463745793018,0.569871179002424,-0.326732496817404,-0.266882319670236,-0.347063857201788,0.0589937471394241,0.66243433730234,0.416969729647458,0.542333211618925,-0.505009879710769,-0.709841085915994,-0.448437593463545,-0.682373971704207,-0.464782788444146,-0.494926958004759,-0.468021758775511,-0.14352994582385,-0.171099924286108,-0.134591045552129,-0.131205675404862,0.198153357976884,-0.0305828853446014,0.319215326987382,-0.131048717758899,0.336839920128042,0.496697365120156,0.440553444999407,0.934577242642935
"Porites_compressa_HIv1___RNAseq.g37523.t1","ME0","grey",0.933130395351761,0.244609911017669,0.656565688310325,0.596294704148909,-0.40691666137314,-0.395970513550104,-0.466715926628657,-0.106905579018405,0.485178765702451,0.303136273914099,0.475720421285357,-0.585206120188419,-0.74301027516181,-0.490851276038011,-0.710277205245608,-0.44204125763582,-0.428290270525169,-0.448458730848287,-0.100413789177817,-0.0232950305149303,0.0140389488998102,0.0119993461385742,0.250696677461144,-0.0382138255822036,0.398028523630677,-0.106123695130652,0.44494448287787,0.605425384934604,0.484860843405966,0.933130395351761
"Porites_compressa_HIv1___TS.g3579.t1","ME0","grey",0.932830663384468,0.283307459534906,0.632512635939696,0.587890453219937,-0.426108634905656,-0.404233851707183,-0.490261513205518,-0.105965983097786,0.491397773514692,0.304406765685447,0.45297688365927,-0.557864636840516,-0.749518468371513,-0.443466152956426,-0.673489783493145,-0.431586685791285,-0.417375395094665,-0.457131517162011,-0.102656567300406,-0.0281340379562248,0.0222995811661679,0.0207622547621342,0.254785464721597,-0.0063836120360214,0.433007205158919,-0.0618262791839582,0.452978566610333,0.620413823806824,0.506563289812046,0.932830663384468
"Porites_compressa_HIv1___RNAseq.g6017.t1","ME0","grey",0.930723941265184,0.216909685952712,0.66278058077424,0.593974559006455,-0.413483528494323,-0.408450638951617,-0.480504251509501,-0.137983350822352,0.464669973633457,0.303154274983801,0.471615075607873,-0.593680165208797,-0.750004995719281,-0.494535956275093,-0.719354793846467,-0.421943597605402,-0.427372933273479,-0.44674891687681,-0.0881974840254066,0.00937388371706433,0.0185209612682336,0.0392124389343189,0.267940279029325,-0.0681963269010084,0.403448958953331,-0.106709670830487,0.441849192254821,0.620175888318704,0.486215275847902,0.930723941265184
"Porites_compressa_HIv1___RNAseq.g22813.t1b","ME0","grey",0.930358528005394,0.238121879473454,0.833890796117676,0.652749048070593,-0.218755465320683,-0.389800009603465,-0.358982740738303,-0.061880036172697,0.570310966259217,0.17540531860677,0.521899486245965,-0.77215898368218,-0.711718687264353,-0.564275468261927,-0.680088714914476,-0.3379790425082,-0.306601775673673,-0.241492987087265,-0.0242671006864384,-0.066831115289627,0.0115728891554733,0.0117240501875962,0.367530594952618,0.0466122616297624,0.266587402815122,-0.291860418199824,0.536060194946508,0.565688278652254,0.47830213673807,0.930358528005394
